Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,0.569474,https://leetcode.com/problems/meeting-rooms-ii
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,5.21891,https://leetcode.com/problems/reconstruct-itinerary
347,Top K Frequent Elements,"Hash Table, Heap",62.7%,Medium,28.924,https://leetcode.com/problems/top-k-frequent-elements
355,Design Twitter,"Hash Table, Heap, Design",31.7%,Medium,72.7773,https://leetcode.com/problems/design-twitter
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,9.70729,https://leetcode.com/problems/random-pick-with-weight
599,Minimum Index Sum of Two Lists,Hash Table,52.0%,Easy,3.43587,https://leetcode.com/problems/minimum-index-sum-of-two-lists
692,Top K Frequent Words,"Hash Table, Heap, Trie",53.3%,Medium,13.6442,https://leetcode.com/problems/top-k-frequent-words
1126,Active Businesses,,68.5%,Medium,45.5546,https://leetcode.com/problems/active-businesses
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance","Array, Sort",57.5%,Medium,100.0,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance
1436,Destination City,String,77.3%,Easy,41.7802,https://leetcode.com/problems/destination-city
