Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.290753,https://leetcode.com/problems/letter-combinations-of-a-phone-number
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.284806,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,0.595479,https://leetcode.com/problems/implement-trie-prefix-tree
285,Inorder Successor in BST,Tree,43.9%,Medium,2.24009,https://leetcode.com/problems/inorder-successor-in-bst
362,Design Hit Counter,Design,65.6%,Medium,25.3065,https://leetcode.com/problems/design-hit-counter
510,Inorder Successor in BST II,Tree,60.5%,Medium,12.4117,https://leetcode.com/problems/inorder-successor-in-bst-ii
708,Insert into a Sorted Circular Linked List,Linked List,32.7%,Medium,62.6533,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list
761,Special Binary String,"String, Recursion",58.8%,Hard,20.9151,https://leetcode.com/problems/special-binary-string
855,Exam Room,Ordered Map,43.5%,Medium,100.0,https://leetcode.com/problems/exam-room
1309,Decrypt String from Alphabet to Integer Mapping,String,77.8%,Easy,0.0,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping
